,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
301,Copper Chimney,4.2,80,"North Indian, Indian, Punjabi, Biryani, Tandoor, Kebabs, Mughlai, Desserts",Malad West,1200,15
302,Jimis Burger,4.6,47,American,Jog Gor East,0,0
303,Sadak Chaap,4.4,48,"Tandoor, Indian, Snacks",Malad West,749,0
304,Jamai Shoshthi,4.2,59,"Bengali, Biryani, Mughlai",Goregaon,0,0
305,Carter's Blue,4.4,49,"Indian, Chinese, Lebanese",Malad West,0,0
306,Hotel Ram Krishna,4.5,41,Indian,Dahisar East,0,0
307,Delicacy,4.4,40,Indian,Kandivali West,0,0
308,5 Spice,4.2,40,"Chinese, Asian, Thai, Seafood",Borivali West,499,0
309,BOMBAY JUICE,3.9,41,"Juices, Beverages, Salads"," Ratna bhai chawk saibaba Nagar, borivali west",700,20
310,Bombay Sweet Shop,4.7,41,"Desserts, Sweets, Bakery, Snacks, Indian",Malad Kan West,1199,0
311,Balaji Pure Veg,4.2,44,"Chinese, South Indian",Malad Kan West,1000,10
312,Fuel Up,4.5,55,"Healthy Food, Salads, Juices, Grill, American, Continental",Malad West,399,0
313,Meal Bowl,4.3,45,"Indian, Chinese",Goregaon West,499,0
314,The French Connection,4.6,15,"Bakery, Snacks, Italian",Malad Kan East,75,30
315,Madrasi Kaapi House,4.4,26,"South Indian, Combo, Beverages",Evershine Millenium Paradise,50,20
316,Singarawala,4.6,53,"Bengali, Mughlai, Biryani, Thalis",Malad Kan East,0,0
317,Shivam Sundaram,4.4,28,"North Indian, Chinese, South Indian",Express Highway,50,20
318,DBW - De Burger World,4.5,26,"Burgers, Snacks, Beverages",Thakur Village,0,0
319,The Biryani Story,4.3,54,"Biryani, Kebabs, Tandoor, Beverages",Malad Kan West,0,0
320,Andhra Kodi Pulao,4.4,73,"Hyderabadi, South Indian, North Indian, Andhra, Kebabs, Mughlai",Malad Kan West,449,0
321,Maharaja Bhog,4.4,51,"Gujarati, Rajasthani, Thalis",Goregaon East,800,10
322,Pizza Caprina,4.1,55,"Pizzas, Italian-American, Desserts",Goregaon West,599,0
323,Satkar Restaurant,3.9,53,"Indian, Chinese, Tandoor",Dahisar West,0,0
324,Upwas Uphargruha,3.4,40,Indian,Rawal Pada,0,0
325,Eva's Pizza,4.1,52,"Pizzas, Italian, Salads",Malad West,449,0
326,Biryani Culture,3.9,51,"Asian, Biryani, Chinese, Desserts, Indian, Mughlai, North Indian, Seafood, Tandoor, Thai, Kebabs",Malad Kan West,0,0
327,Zaffran,4.4,67,"North Indian, Biryani, Indian, Kebabs, Rolls & Wraps",Andheri Link Road ,799,0
328,Home Plate by EatFit,4.3,39,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani, Maharashtrian, Snacks, Desserts, Beverages",Gorai Road,159,0
329,The Dessert Heaven - Pure Veg,4.3,39,"Bakery, Desserts, Sweets, Ice Cream",L T Road Junction,299,0
330,Darbhanga Xpress - The Taste of Mithila,3.3,35,"Indian, Seafood",Kandivali East,100,50
331,Marrakesh,4.3,42,"Lebanese, North Indian, Kebabs, Desserts, Beverages",Kandivali,0,0
332,Bowl Soul,4.1,47,"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese, North Indian, Korean, Japanese, South Indian",Goregaon,129,0
333,Olio - The Wood Fired Pizzeria,4.2,61,"Pizzas, Pastas, Fast Food, Snacks, Beverages",Malad West,249,0
334,Barista Coffee,4.2,44,"Beverages, Snacks, Desserts",Malad West,449,0
335,Kailash Parbat,4.1,46,North Indian,Goregaon East,0,0
336,Chaat Street - Desi Chaat & Chai,3.8,44,"Snacks, Chaat, Street Food, North Indian, Fast Food",Gorai Road,349,0
337,Suruchi Veg Restaurant,4.5,32,"North Indian, Chinese, South Indian, Fast Food, Beverages, Biryani",Malad Kan East,800,10
338,Oye Paratha House,4.1,35,Indian,Malad Kan East,100,50
339,Mishra Pan Bhandar,4.7,27,"Paan, Sweets, Mughlai",Malad Kan East,40,10
340,Ebony Casual Diner,4.2,24,"North Indian, Chinese, Biryani, Tandoor, Seafood",Kandivali East,75,30
341,Golden Dragon Chinese Point,4.4,25,Chinese,90 FT Road,120,60
342,Surbhi Pure Veg (Thakur Village),4.1,30,"Indian, Biryani, Chinese, Snacks, Beverages",Kandivali East,449,0
343,Cafe Cocobroma,4.3,21,"Cafe, Desserts, Waffle, Beverages, Bakery, Sweets",Kandivali East,50,20
344,Surbhi,4.3,29,"Indian, Biryani, Chinese, South Indian, Snacks, Desserts, Beverages",Kandivali East,80,40
345,Konark Veg Diet,4.4,24,"North Indian, Chinese, South Indian, Indian",Kandivali East,0,0
346,Mira Veg Restaurant,4.3,25,"South Indian, Chinese, North Indian, Fast Food, Indian, Beverages, Street Food",Kandivali East,1500,10
347,Aavakay The Andhra Kitchen,4.3,32,"Andhra, Biryani, Indian, Desserts, Beverages",Kandivali East,75,30
348,Papacream,4.3,38,"Ice Cream, Healthy Food, Desserts",Kandivali West,120,60
349,Bangalore Iyengar's Bakery,3.9,51,Bakery,Malad Kan East,0,0
350,B Burger - Bigger Burger,4.2,45,"Burgers, American, Beverages, Snacks",Malad west,349,0
351,Art Of Dum,4.4,59,"Biryani, North Indian, Kebabs, Indian, Awadhi, Hyderabadi, Mughlai, Desserts, Beverages",Malad West,300,25
352,China Box Co,4.1,42,"Chinese, Asian, Thai, Seafood",Borivali,499,0
353,Mini Punjab,4.2,52,"North Indian, Chinese",Malad West,80,15
354,Dimsum (Momo) Express,4.3,45,"North Indian, Chinese, Tandoor",Borivali,749,0
355,Coco Cafe,4.1,66,"Cafe, Burgers, American, Italian, Beverages, Desserts, Pastas, Continental",Goregaon East,499,0
356,Al-Baik.Com,3.7,52,"Fast Food, Pizzas, Burgers, Rolls & Wraps, Snacks",Malad Kan West,0,0
357,Foodland,4.5,53,"Mughlai, North Indian, Chinese, Seafood",Malad West,0,0
358,House of Candy,3.7,78,Sweets,Malad West,0,0
359,Fruit Pop by Eatfit,3.3,41,"Beverages, Juices, Healthy Food, Desserts",Gorai Road,80,40
360,Artinci - Indulge Guilt Free!,4.2,50,"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery, Sweets",Malad West,449,0
361,Taaka Chinese,4.3,46,"Chinese, Oriental, Asian",Goregaon,129,0
362,Tandoori Nights,4.1,43,"Mughlai, Chinese",Borivali West,0,0
363,Mirch,4.3,38,"Mughlai, North Indian, Chinese, South Indian",Borivali East,50,20
364,Banglore Iyengar Bakery,4.3,16,"Bakery, Snacks",Malad Kan East,0,0
365,The Baker's Dozen,4.5,40,"Bakery, Snacks, Desserts",Goregaon,449,0
366,Haka,4.3,64,"Chinese, Asian",Malad West,249,0
367,Samosa Singh,3.9,44,"North Indian, Indian, Snacks, Street Food",Borivali,499,0
368,Mainland China,4.3,60,Chinese,Goregaon East,249,0
369,The Brooklyn Creamery - Healthy Ice Cream,4.2,47,"Desserts, Ice Cream, Healthy Food",Goregaon,800,15
370,Ribbons And Balloons - The Cake Shop,4.5,40,"Cakes and Pastries, Bakery, Desserts, Ice Cream",Imperial Heights,0,0
371,Mom's Kitchen,3.2,56,"North Indian, Indian, Biryani",Malad Kan East,0,0
372,Nomad Pizza- Traveller Series,4.3,55,"Pizzas, Fast Food, Desserts, Beverages",Malad West,999,0
373,Prasuma Momo Kitchen,4.6,48,"Chinese, Asian, Snacks, Tibetan, Street Food, Japanese, Pan-Asian, Beverages",Malad Kan West,499,0
374,The Betel Leaf Co.,4.6,45,"Paan, Desserts, Indian",Malad Kan West,700,15
375,Punjab Grill,3.9,70,"North Indian, Kebabs, Biryani, Mughlai",MALAD WEST,249,0
376,Asia Kitchen By Mainland China,4.4,60,"Asian, Japanese, Chinese",Goregaon East,249,0
377,Giani,4.3,41,"Ice Cream, Beverages",Borivali,0,0
378,PizzaExpress,4.1,59,"Pizzas, Italian",Goregaon East,1299,0
379,Crusto's - Cheese Burst Pizza,4.2,63,"Pizzas, Pastas, Fast Food, Snacks, Beverages",Malad West,249,0
380,Green Cravings,4.1,50,"Healthy Food, Fast Food, Grill",Goregaon,159,0
381,Biryani Badshah,4.1,53,"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs",Malad West,449,0
382,Naadbramha Idli,3.8,43,"Chinese, South Indian",Malad Kan West,0,0
383,BOSS Burger,4.1,49,"Burgers, American, Fast Food, Snacks",Goregaon East,999,0
384,Edesia by Freshmenu,4.1,49,"Desserts, Bakery, Fast Food",Goregaon,0,0
385,Doner and Gyros,4.5,50,"Lebanese, Middle Eastern, Healthy Food, Salads, Snacks, American, Desserts, Beverages, Rolls & Wraps, Fast Food",Mira Road,0,0
386,New York Waffles & Dinges,3.7,38,"Waffle, Bakery, Desserts, Beverages, Ice Cream",Borivali,449,0
387,Vividham Sweets and Dryfruits,4.7,22,"Indian, Snacks",Borivali East,1000,10
388,Juno's Pizza by EatFit - Baking Fresh Since 1974,4.2,40,"Pizzas, Pastas, Jain, Beverages, Desserts, Fast Food",Borivali West,249,0
389,Starboy Pizza & Shakes,4.3,42,"Pizzas, Italian, Desserts, Beverages",Borivali,449,0
390,SLAY Coffee,4.2,55,"Cafe, Beverages, Desserts, Snacks, Pastas",Goregaon,399,0
391,The Sugar Free Keto Kafe - Artinci,4.4,45,"Ice Cream, Keto, Healthy Food, Sweets, Bakery, Desserts, Snacks",Malad West,449,0
392,Cake Walk,4.3,46,"Indian, Bakery, Waffle, Desserts",Malad Kan West,0,0
393,Akkad Bakkad Bombay Boo - AB3,4.5,33,"Snacks, Fast Food, Pizzas",Kandivali East,449,0
394,The Wafflemeister,4.4,32,"Desserts, Beverages, Sweets, Ice Cream",Kandivali East,80,40
395,Sanjay Pure Veg,4.3,29,"Indian, South Indian",Borivali East,0,0
396,Su-Veg,4.4,39,"North Indian, Chinese, South Indian, Biryani, Snacks, Beverages",Borivali East,75,30
397,"Harsh Thali and Parathas - Mom Makes, Son Sells",4.5,39,"North Indian, Thalis, Gujarati, Rajasthani, Jain, Chinese",Kandivali East,50,20
398,Monopoly,4.2,37,"Italian, Mexican, Continental, Juices, Pizzas, Snacks, Pastas, Beverages",Borivali West,0,0
399,Hotel Sarvoday,3.1,34,Chinese,Malad Kan East,200,40
400,Maa Anjani Pav Bhaji Centre,4.4,32,Chinese,Borivali West,0,0
401,Maharashtra Biryani center,3.9,28,Biryani,Kandivali East,0,0
402,Jain Dughdalay,4.4,22,Sweets,Borivali,700,10
403,69 Dackers Lane,3.8,27,"Bengali, Biryani",Malad Kan East,100,50
404,Madras Talkies,3.6,19,"South Indian, Beverages",Malad Kan East,499,0
405,Rama's Sweets & Snacks,4.3,12,"Sweets, Snacks",Malad Kan East,40,10
406,Malvan Kinara,4.2,43,"Indian, Chinese",Akurli Road,1500,10
407,Oye Bihari - Real Taste of Bihar,4.3,34,"Indian, Seafood",Kandivali East,100,50
408,DonBuri,3.8,45,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts",Goregaon,129,0
409,Khichdi Express,4.2,55,"Indian, North Indian, Home Food, Healthy Food, Snacks, Juices, Beverages",Malad West,0,0
410,Keventers Ice Cream,4.1,55,"Ice Cream, Desserts",Malad West,399,0
411,ENSO - Sourdough Pizza by Nomad,4.6,53,"Pizzas, Fast Food, Desserts, Salads, Beverages",Malad Kan West,999,0
412,Cafe Delhi Heights,4.3,66,"Italian, American, Indian",Malad West,399,0
413,Raja Chinese & Tandoor Corner,3.9,36,"Chinese, Barbecue",Kandivali West,999,0
414,Su - Swagat,4.2,31,"North Indian, Chinese, Tandoor, Beverages, Ice Cream, South Indian",Borivali,0,0
415,Grand Maratha,4.4,39,"North Indian, Chinese, Malwani",Borivali East,0,0
416,Hotel Shree Ramdev,4.4,27,"South Indian, Punjabi, Indian, Tandoor, Biryani, Chinese",Dahisar,0,0
417,Dwaraka,4.6,32,"South Indian, Indian, Chinese, North Indian, Italian",Borivali West,0,0
418,Paratha Zone,4.5,28,"North Indian, Snacks, Biryani",BORIVALI,0,0
420,Agrawal Sweets,3.8,27,"North Indian, Snacks",Borivali East,599,0
421,Kathiyawadi Bhog,4.3,39,Indian,Borivali West,0,0
422,SHREE RAM SWEETS AND FARSAN,4.6,29,"Sweets, Snacks",Borivali,0,0
423,Bhaskar's Puranpoli Ghar,4.4,38,"Maharashtrian, Gujarati, Mangalorean",Malad Kan West,0,0
424,Chaap Theka,4.3,38,"Biryani, Jain, Tandoor, North Indian",Borivali,700,10
425,Biryani Barbeque Chinese (BBC),4.4,30,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West,0,0
426,Damru Paan Shop,4.7,25,Paan,Borivali West,0,0
427,Nandu Dosa Dinner,4.3,34,South Indian,Borivali,0,0
428,Nagpal Choley Bhature,4.2,35,"North Indian, Tandoor, Beverages, Desserts",Kandivali West,600,10
429,The Juice Junction,4.4,28,"Juices, Beverages",Mahavir Nagar Kandivali West,999,0
430,Nat Khat Pav Bhaji And Snacks Corner,3.4,51,"North Indian, Fast Food, Snacks",Malad Kan East,120,60
431,Mystic Lebanese,4.2,45,"Arabian, Mediterranean, Lebanese, Turkish",Malad Kan East,249,0
432,Amritsari Kulcha Junction (Pure Veg),4.1,46,"North Indian, Chaat, Punjabi, Beverages",Borivali,749,0
433,South Tiffin House Exclusive,4.2,42,"South Indian, Street Food, Beverages, Snacks",Kandivali West,449,0
434,Lata Restaurant,4.4,40,"Indian, Chinese, Mughlai, Biryani, North Indian",Kandivali West,80,15
435,Sandeep Pure Veg,4.5,42,"South Indian, North Indian, Chinese, Street Food",Railway Station,0,0
436,Sannidhi Family Restaurant (Kandivali Station),4.5,47,"Mughlai, North Indian, Chinese, South Indian, Indian, Salads, Desserts, Snacks, Beverages",Kandivali West,749,0
437,Pangat (Dahisar East),4.4,44,"Konkan, Chinese, Tandoor, Indian",Dahisar,0,0
438,Akkad Bakkad Bombay Boom (Mahavir Nagar),4.2,44,"Snacks, Italian",Kandivali West,999,0
439,Ganesh Snack & Juice Corner,4.3,33,"Fast Food, Chaat",Malad Kan East,75,30
440,Sonu's Chinese Corner,4.2,35,"Chinese, North Indian",Borivali East,0,0
441,Radha Restaurant,4.5,35,"South Indian, Chinese, Snacks, Indian, Beverages, Pizzas",Borivali West,0,0
442,Sanjay Icecreams,4.5,24,"Ice Cream, Desserts",Malad Kan East,0,0
443,Raisins Chocolatier And Patisserie,3.3,27,Desserts,Borivali,100,15
444,Fisco Restobar,4.5,37,"Indian, Chinese, Italian, Mexican",Kandivali West,449,0
445,Pizza Story,4.6,33,"Pizzas, Burgers, Desserts, Chinese, Pastas, Italian",Kandivali East,100,50
446,Taste Of Kolkata,4.2,31,"Indian, Chinese, Bengali",Kandivali East,40,10
447,Sizzling Spices,4.4,27,"Chinese, Thai, Asian, Indonesian, Seafood, Beverages",Kandivali East,50,20
449,Malvani Swaad (Sushama's Kitchen),4.3,37,"Malwani, Seafood, Indian, North Indian, Biryani, Salads, Beverages, Thalis",Kandivali East,249,0
450,2 Delicious Poha House,4.3,16,"Indian, Snacks",Malad Kan East,40,10
451,New Kulfi Center,4.6,26,Ice Cream,Malad Kan West,0,0
452,Swastik Fast Food (Franky),4.2,33,Fast Food,Borivali,0,0
453,A Taste Of India,4.4,40,"Indian, Chinese, Mughlai, North Indian",Kandivali East,80,40
454,Crave Junction,4.3,34,"Italian, Chinese, Pizzas, Beverages",Kandivali West,0,0
455,Uk14,4.5,26,"Beverages, Ice Cream",Kandivali West,0,0
456,Jain Sweets,4.3,36,"Street Food, Maharashtrian",Dattani Centre,80,15
457,UFO Fries & Corn,4.1,34,North Indian,Kandivali West,999,0
458,Wtc Pasta,3.9,40,"Italian, Snacks, Grill, Beverages, Pizzas, Pastas",Borivali,0,0
459,UBQ BY Barbeque Nation,4.3,40,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",Kandivali East,80,40
460,Food Costa,3.9,23,"Fast Food, Pizzas, Biryani, Mexican, Snacks, Beverages, Burgers","Kandivali (East), Thakur Village",50,20
461,Five Star,4.5,23,"Fast Food, Burgers, Snacks",Malad Kan East,0,0
462,Arihant Dugdhalay,4.4,25,"Desserts, Sweets",Borivali,0,0
463,Al Arabian Shawarma,2.7,25,"Arabian, Lebanese, Kebabs, Salads, Beverages, Middle Eastern",Kandivali East,0,0
464,Bombay Sultaani Biryani House,4.3,31,"Indian, Biryani",Malad Kan East,120,60
465,East Asia - Indian | Asian | Continental,4.2,42,"Chinese, Italian, Thai, Asian, Indian, Tandoor, Continental, Sushi, Pizzas, Salads",Borivali West,0,0
466,Joey's Pizzeria-Kandivali (E),3.7,44,"Pizzas, Chinese, Desserts, Burgers, Pastas, Italian",Kandivali East,100,50
467,The Chocolate Heaven,4.1,34,"Desserts, Italian, Snacks",Borivali West,449,0
468,Pavbhaji Bistro,4.3,29,"Indian, Fast Food",Kandivali East,0,0
469,New Wanton Point,4.4,24,"Indian, Chinese",Kandivali East,80,40
470,Delicacy Of Mewar,3.8,41,Snacks,Malad Kan East,1000,10
471,Ek Bihari - The Bihar Diaries,3.7,35,"Indian, Seafood","Kandivali East, Thakur Village",100,50
472,Yamu's Panchayat,4.9,16,Paan,Malad Kan East,0,0
473,Vividh NX,4.4,35,"Chinese, Oriental, Indian",Kandivali East,40,10
474,Kumar's Cafe,3.2,26,"Beverages, South Indian",Borivali,0,0
476,Baskin Robbins Happyness Shakes,3.8,27,"Beverages, Desserts",Kandivali East,75,30
477,Pizza Town,3.9,27,"Pizzas, Beverages, Italian",Malad Kan East,75,30
478,Jugheads,4.2,30,"Continental, Chinese, North Indian, American",Kandivali East,40,10
479,Mahakali Fast Food & Juice Centre,4.4,33,"Indian, South Indian, Beverages, Awadhi",Borivali West,600,10
480,Aakash,3.9,29,"Desserts, Snacks",Kandivali West,0,0
481,Gupta Bhelpuri House,4.2,41,"Snacks, Chaat",Kandivali West,0,0
482,Gaonthan The Family Restaurant,4.3,36,"North Indian, Chinese, Biryani",Malad Kan East,45,15
483,The Avenue,4.5,33,"North Indian, Chinese, Tandoor, Indian, Seafood",Malad Kan East,0,0
484,Souffle Cake Shop,3.8,25,Bakery,Borivali West,700,10
485,Spring Fields,4.5,40,"North Indian, Chinese, Italian",Borivali,75,30
486,Sheetal Dugdhalay,4.7,33,Sweets,Malad Kan East,0,0
487,WA! Wok (Delicious Chinese),4.3,39,"Chinese, Oriental, Asian, Burmese, Thai",Dahisar,0,0
488,One Minute chai Nashta,4.5,27,"Bengali, Snacks, Street Food",Borivali,0,0
489,Kuku's,4.2,33,Chinese,Borivali West,999,0
490,RTC - Rolls And Fried Chicken,4.2,38,"Snacks, Fast Food, North Indian, Street Food",Dahisar West,449,0
491,Biryani Barbeque Chinese (BBC-Babhai Naka),4.5,35,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West,0,0
492,Gokul Anand,4.5,33,"North Indian, Chinese, Beverages, South Indian",Borivali,0,0
493,Tuba Restaurant,4.1,39,"Chinese, North Indian, Biryani, Indian, Sweets, Salads, Snacks",Malad Kan East,499,0
494,The Veg Treat Express,4.5,36,"North Indian, Indian, Chinese, Italian, Mexican, Desserts",Borivali West,1000,10
495,Pushti Tushti,4.4,38,Indian,Borivali West,449,0
496,MM Mithaiwala.,4.3,39,"Sweets, Snacks, Bengali",Malad Kan East,449,0
497,Anhad Misal,4.1,38,"Snacks, North Indian",Borivali,499,0
498,Classic Pure Veg,4.4,38,"North Indian, Chinese",Dahisar East,1500,10
499,SNS Mexican Shack,4.4,59,"Mexican, Salads, Burgers, Tex-Mex, Beverages, Fast Food",Malad Kan West,999,0
500,Stacks And Racks,4.6,56,American,Malad Kan West,0,0
501,Marathi Mejwani,4.3,43,"Indian, South Indian, Seafood",Dahisar,0,0
502,Gupta Bhelpuri And Sandwich Corner,4.2,41,Fast Food,Borivali West,0,0
503,Sanata Snacks,4.3,46,"Maharashtrian, Snacks, Beverages",Dahisar West,0,0
504,Mm Mithaiwala Fast Food,4.4,44,"Fast Food, South Indian, Indian, Snacks, Beverages",Malad Kan West,800,15
505,Hotel Gopal Krishna,4.5,46,South Indian,Malad Kan West,999,0
506,Satkar Rice Plate House,4.6,53,"Maharashtrian, Malwani, Seafood, Biryani",Goregaon East,1500,10
507,Cafe Shalimar,3.9,44,"North Indian, Biryani, Desserts, Beverages",Malad,599,0
508,Arabian Shawarma Cafe,4.2,43,"Arabian, Lebanese, Snacks",Borivali,999,0
509,China Hunt,4.2,48,"Chinese, North Indian, Tandoor",Malad East,100,20
510,Hotel Sai Palace Grand,4.5,58,"North Indian, Chinese, Biryani, Desserts, Continental, Mangalorean, Seafood, Italian, Fast Food",Malad West,0,0
511,Khaas Paratha,4.4,45,North Indian,Dahisar West,0,0
512,Nischita Nxt,4.4,51,"Biryani, Chinese, North Indian, Seafood",Borivali West,999,0
513,Foodgerk - The Diet Parlour,4.3,52,"Continental, Salads",Malad West,499,0
514,Jay Prakash Bar & Restaurant,4.2,55,"Indian, Chinese",Goregaon,449,0
515,YUI,4.4,50,"Asian, Japanese",Borivali West,999,0
516,Sai Veg World Xpress,4.3,51,"South Indian, North Indian",Malad Kan West,449,0
517,Dessert Therapy,4.6,46,"Cakes and Pastries, Desserts, Beverages, Bakery",Kandivali West,0,0
518,Sammy Sosa,4.4,57,"Mexican, Asian",Malad West,899,0
519,Suka Sukhi,4.4,50,"Maharashtrian, Malwani",Jog Gor East,0,0
520,Queen Margherita's Pizzeria,4.3,61,"Pizzas, Italian-American",Malad Kan West,0,0
521,Curry and Combo Twist (Pure Veg),4.3,44,Indian,Mum_Jog Gor East,0,0
522,The Red Turtle - Pan Asian Bistro,4.4,57,"Pan-Asian, Chinese, Thai, Japanese, Singaporean",Malad West,0,0
523,The Veg Treat Royal,4.5,42,"North Indian, Indian, Chinese, Continental, South Indian",Borivali,0,0
524,Mangoes,4.4,61,"Mangalorean, Goan",Malad Kan West,0,0
525,Rangrezz Desi Restobar,4.4,43,North Indian,Borivali West,0,0
526,Bansi Vadapav,4.2,41,Fast Food,Malad West,0,0
527,Mumbaikar S Food House,4.3,61,"Indian, Thalis",Malad Kan West,0,0
528,Vivek Chinese corner,4.4,44,Chinese,Borivali West,1300,10
529,Pranayam (Pure Veg),4.3,47,"North Indian, South Indian, Snacks",Borivali,249,0
530,Grab Some Momos Here,4.5,42,"Tibetan, Chinese",Borivali,0,0
531,Peco Peco,4.4,48,"Chinese, Asian, Thai",Malad West,0,0
532,Meetha By Radisson,4.6,54,Desserts,Goregaon West,40,10
533,Rasodu - The Ethnic Kitchen,4.3,44,"Indian, Thalis, Beverages",Malad Kan West,0,0
534,Kake Da Hotel (Since 1931),4.2,53,"North Indian, Tandoor, Punjabi",Jogeshwari West,800,15
535,# Thali,4.5,52,"North Indian, Chinese",Borivali,449,0
536,Sernyaa,4.5,56,"Tibetan, Chinese",Ashok Enclave,900,10
537,Udipi Vihar (pure veg) restaurant,4.4,50,"Chinese, North Indian, South Indian, Tandoor, Biryani, Desserts",Jog Gor East,0,0
538,Shubh Sagar Restaurant,4.4,52,"Chinese, North Indian, South Indian",Mira Road,0,0
539,Ruchi Veg Restaurant,4.1,46,"South Indian, North Indian, Chinese, Tandoor, Biryani, Juices, Beverages, Mughlai, Home Food, Healthy Food, Italian, Mexican",Goregaon,900,10
540,Jango's,4.2,55,"Chinese, North Indian, Biryani, Kebabs",Malad West,749,0
541,Konkan Chilly,4.3,56,"Konkan, North Indian, Chinese, Tandoor, Malwani",Chincholi Bunder,1000,10
542,Flavours Of China (Evershine Nagar),4.2,51,Chinese,Malad Borivali Area,999,0
543,Landmark Kitchens,4.4,56,"Indian, Snacks, Pizzas, Chinese",Goregaon,0,0
544,"Desi Shack- Acha Khao, Acha Khilao- By om snacks",4.1,43,"Indian, Fast Food, Snacks, Italian, Chinese, Beverages",Jog Gor East,0,0
545,Malgudi - Veg & Non-Veg Family Restaurant,4.1,48,"North Indian, Chinese, South Indian, Malwani",Borivali West,449,0
546,Shiv Sagar Malad,4.2,48,"Indian, Chinese",Malad West,1200,10
547,Lalit Bakery,4.3,51,"Bakery, Desserts, Italian",Borivali,0,0
548,Namaskar The Family Restaurant,4.4,49,"North Indian, Chinese, Maharashtrian, Biryani",Borivali East,0,0
549,Green Tadka,4.4,51,Indian,Goregaon West,0,0
550,Stir Fry Grill,4.3,48,"Chinese, Continental, Indian, Thai, Healthy Food, Pan-Asian",Malad West,449,0
551,Deepak Only Veg,4.4,49,"South Indian, Chinese, Indian",Mumbai,600,10
552,Gulistan Family Restaurant,4.1,43,Chinese,Malad West,1300,10
553,Keto Treats,4.4,52,"Keto, Bakery, Ice Cream, Desserts",Evershine nagar,900,10
554,Hotel Apala samadhan,4.4,49,"Malwani, Indian, Chinese",Borivali West,0,0
555,Ravindra Restaurant,4.5,43,"North Indian, South Indian, Chinese, Pizzas",Dahisar East,0,0
556,Apricot foods,4.5,43,"Sweets, Fast Food, Chaat, Snacks, Desserts, Gujarati, Maharashtrian",Borivali West,999,0
557,Sattvik Tiffin Co,4.4,44,"North Indian, Chinese",Jog Gor East,0,0
558,Govindas Veg Treat,4.3,45,"North Indian, Chinese, Beverages, South American",Malad West,700,10
559,The Delhi Spice,4.2,46,"Biryani, Chinese, North Indian",Jog Gor East,0,0
560,Hotel National,3.9,43,"North Indian, Chinese",Kandivali West,999,0
561,The Burrow Cafe,4.4,53,"Pastas, Continental",Malad West,900,10
562,Saundha,4.1,57,"North Indian, Biryani, Kebabs, Chaat, Beverages",Malad Kan West,0,0
563,Raju Pav Bhaji,4.3,40,Chinese,Mumbai,749,0
564,Cha - Ya its cup of tea,4.5,40,"Beverages, Snacks",Borivali,500,20
565,Coffee By Di Bella Exclusive,4.4,50,"Desserts, Beverages, Fast Food, Waffle, Snacks, Bakery",Malad West,800,10
566,Jagtap Missal,3.8,34,"Snacks, Indian",Borivali,0,0
567,Nafees Biryani,4.2,38,Mughlai,Malad East,150,30
568,R K Ladoowala,3.8,36,"Indian, Sweets, Desserts",Dahisar,100,10
569,Biryani-Holic,4.3,38,"Biryani, Indian",Malad East,150,30
570,The Green Kitchen,4.3,39,"Fast Food, Indian, Chinese, Continental, Tandoor, Pizzas, South Indian, Mexican",Borivali,0,0
571,"Bindaas Binge ( Cakes, Pastries & More )",4.4,38,"Bakery, Desserts, Sweets",Malad East,0,0
572,Anytime Misal,4.1,37,"Street Food, Beverages, Desserts",Borivali,0,0
573,Andawala,4.2,33,"Fast Food, Street Food",Borivali West,0,0
574,Chatako The Gujju's,4.4,38,Gujarati,Dahisar East,0,0
575,Aditi Fast Food,4.3,63,"Street Food, Indian, Chinese, Beverages",Malad Kan West,0,0
576,Hotel ShreeDevi,4.5,41,"Indian, Chinese, Punjabi",Malad West,0,0
578,The Daily Deli,4.3,60,"Continental, American, Pizzas, Pastas, Beverages, Desserts",Malad West,749,0
579,Cherry's Kitchen,3.9,56,"Indian, Kerala",Malad West,0,0
580,Annapurna Healthy Kitchen,4.5,66,"Gujarati, Thalis",Kandivali West,0,0
581,Divya Chinese corner,4.3,40,"Chinese, Indian",Dahisar East,700,20
582,Medha malvan,4.2,59,Malwani,Goregaon,800,15
583,Vedant Snacks Corner,4.1,54,"South Indian, Beverages, North Indian, Juices",Dahisar West,999,0
584,Noor Biryani Center,3.7,44,"Biryani, Mughlai, North Indian, Indian, Tandoor, Punjabi, Snacks, Desserts",Borivali West,150,30
585,Dada's Chinese Kitchen,4.2,49,Chinese,Malad Kan East,125,25
586,Sun Moon & Potatoes,4.2,58,"Continental, Chinese, Salads, Asian",Malad West,449,0
587,Arabian Shawarma by Rudy's,4.2,41,"Lebanese, Arabian, Salads",Borivali West,999,0
