,hotel_name,rating,time_minutes,food_type,location,offer_above,offer_percentage
77,ZAZA Mughal Biryani,4.2,43,"Biryani, North Indian, Awadhi",Kandivali,100,50
78,Dessertino,4.1,29,Desserts,Borivali,0,0
79,Cafe Delight,4.4,29,"Indian, Tandoor",Borivali East,0,0
81,La Pino'z Pizza,4.2,25,"Pizzas, Pastas, Italian, Desserts, Beverages",Thakur Complex,100,50
82,Murlidhar Sweets And Farsan,4.7,30,"Sweets, Street Food, Bengali, Gujarati, Desserts, Fast Food",Borivali West,0,0
83,Starbucks Coffee,4.4,17,"Beverages, Cafe, Snacks, Desserts, Bakery, Ice Cream",Malad Kan East,900,10
85,Borivali Biryani Centre (BBC),4.5,26,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West,0,0
86,Meemee's,4.5,26,"Ice Cream, Desserts",Borivali,100,50
87,Uncle's Chinese,3.6,36,"Chinese, Fast Food, Biryani, North Indian, Beverages",Kandivali,0,0
88,Bangalore Iyengar Bakery,4.3,29,"Bakery, Desserts",Borivali,0,0
89,Kunafa World,4.2,36,"Middle Eastern, Desserts",Malad Kan West,0,0
91,The Cake Factory,4.2,22,Desserts,Kandivali East,120,60
92,Kusum Rolls,3.5,32,"Indian, Fast Food, Lebanese, Arabian, Kebabs",Kandivali East,0,0
93,Patanwala,4.8,15,"Sweets, Desserts",Malad Kan East,0,0
94,Monginis,4.2,14,"Bakery, Desserts, Snacks",Kandivali East,50,20
95,GetAWay-Ice Creams & Desserts,4.7,24,"Ice Cream, Desserts, Healthy Food, Sweets",Kandivali,599,0
96,Mealful Rolls - India's Biggest Rolls,4.4,43,"Fast Food, Snacks, North Indian, Desserts",Kandivali East,100,50
97,The Momo Co.,4.1,20,"Chinese, Asian, Tibetan, Desserts",Kandivali East,100,50
98,Faasos' Signature Wraps & Rolls,4.3,25,"Fast Food, Snacks, North Indian, Desserts, Beverages",Kandivali East,100,50
101,Kareem's,4.1,32,"North Indian, Biryani, Chinese, Indian, Desserts, Mughlai, Tandoor, Lucknowi",Kandivali East,100,50
103,Suchali's Artisan Bakehouse,4.6,18,"Beverages, Bakery",Malad Kan East,50,20
104,LeanCrust Pizza- ThinCrust Experts,4.4,43,"Pizzas, Italian, Desserts",Kandivali East,100,50
105,Pure Veg Meals by Lunchbox,4.2,24,"Biryani, North Indian, Desserts, Beverages",Kandivali East,80,40
106,The J,4.5,18,"American, Snacks, Desserts",Malad Kan East,0,0
107,Smokin' Joe's,3.9,34,"Italian, Pizzas",Kandivali East,50,20
